Code|RUES|"Service des Impôts des Particuliers
(SIP)"|Secteur d'assiette (SA)|Trésorerie|Service des Impôts des Entreprises (SIE)|Pôle enregis-trement (PE)|"Service de Publicité Foncière 
(SPF) "|||||||
0004|ABADIE (CHEM)|TO|4|0018|TMI|TO3|TO2|||||||
0008|ABATTOIRS (PLACE DES)|TSO|1|0029|TMI|TO3|TO2|||||||
0011|ABBE GEORGES LAFFORGUE (RPT)|B|1|0092|B|TO3|TO1|||||||
0012|ABATTOIR (RUE DE L')|TSO|1|0029|TMI|TO3|TO2|||||||
0013|ABBE LESTRADE (IMP DE L')|TO|4|0018|TMI|TO3|TO2|||||||
0014|ABBE BREUIL (RUE DE L')|TSE|4|0028|TR|TO3|TO1|||||||
0015|ABBE SALVAT (IMP)|TSO|1|0029|TMI|TO3|TO2|||||||
0016|ABBE SICARD (RUE DE L')|TNO|4|0064|TNO|TO3|TO1|||||||
0017|ABBE HENRI GREGOIRE (CHEM DE L')|TO|3|0018|TMI|TO3|TO2|||||||
0018|ABBE NAUDIN (RUE)|TNO|4|0064|TNO|TO3|TO1|||||||
0019|ABBE NAUDIN (IMP)|TNO|4|0064|TNO|TO3|TO1|||||||
0020|ABEILLES (RUE DES)|TC|3|0027|TC|TO3|TO1|||||||
0021|ABBE RAYMOND JULIEN (RPT DE )|TSE|1|0028|TR|TO3|TO1|||||||
0024|ABEL AUTEFAGE (RUE)|TR|3|0065|TR|TO3|TO1|||||||
0028|ABOUKIR (RUE D')|B|1|0092|B|TO3|TO1|||||||
0032|ABREUVOIR ST PIERRE (RUE)|TNO|2|0064|TNO|TO3|TO1|||||||
0036|ACACIAS (ALL DES)|B|1|0092|B|TO3|TO1|||||||
0038|ACHILLE MIR (RUE)|TO|3|0018|TMI|TO3|TO2|||||||
0040|ACHILLE VIADIEU (RUE)|TC|1|0027|TC|TO3|TO1|||||||
0045|ACTION TOULOUSAINE (RUE)|TSE|2|0028|TR|TO3|TO1|||||||
0048|ADOLPHE COLL (RUE)|TSO|1|0029|TMI|TO3|TO2|||||||
0049|ADOLPHE JAUREGUY (RPT)|TNO|3|0064|TNO|TO3|TO1|||||||
0052|ADOLPHE TALAZAC (RUE)|TO|4|0018|TMI|TO3|TO2|||||||
0056|ADONIS (RUE)|TNO|3|0064|TNO|TO3|TO1|||||||
0060|ADOUR (RUE DE L')|B|1|0092|B|TO3|TO1|||||||
0061|DOCTEUR A. CHARPY (RUE DU)|TO|3|0018|TMI|TO3|TO2|||||||
0064|ADRIEN LEGENDRE (RUE)|TNO|3|0064|TNO|TO3|TO1|||||||
0066|ADRIENNE BOLLAND (RUE)|TSE|4|0028|TR|TO3|TO1|||||||
0068|AEROSTATION (RUE DE L')|B|1|0092|B|TO3|TO1|||||||
0070|AEROSTIERS (IMP DES)|B|1|0092|B|TO3|TO1|||||||
0072|AFFRE (RUE)|TSE|1|0028|TR|TO3|TO1|||||||
0073|AGAPITO NADAL (PLACE)|TO|3|0018|TMI|TO3|TO2|||||||
0076|AGATHOISE (RUE)|TC|3|0027|TC|TO3|TO1|||||||
0080|AGDE (RTE D')  (Impairs 1 à 19)|B|1|0092|B|TO3|TO1|||||||
0080|AGDE (RTE D')  (Impairs 21 à la fin)|B|1|0092|B|TO3|TO1|||||||
0080|AGDE (RTE D')  (Pairs)|B|1|0092|B|TO3|TO1|||||||
0084|AGEN (RUE D')|B|1|0092|B|TO3|TO1|||||||
0086|AGUDES (IMP)|B|1|0092|B|TO3|TO1|||||||
0087|AGUDES (RUE)|B|1|0092|B|TO3|TO1|||||||
0088|AIN (RUE DE L')|TO|4|0018|TMI|TO3|TO2|||||||
