Code|COMMUNE|Service des Impôts des Particuliers (SIP)|Secteur d'as-siette (SA)|Service des Impôts des Entreprises (SIE)|Pôle enregis-trement (PE)|Centre des Impôts Foncier (CDIF)|Trésorerie|"Services de 
publicité foncière
(SPF)"|Code postal|
001|AGASSAC|STG|2|STG|STG|STG|0048|STG|31230|
002|AIGNES|TR|3|TR|TO3|MUR|0020|MUR|31550|
003|AIGREFEUILLE|TSE|1|TR|TO3|COL|0005|TO3|31280|
005|ALAN|STG|2|STG|STG|STG|0046|STG|31420|
006|ALBIAC|TSE|1|TR|TO3|COL|0005|TO3|31460|
007|AMBAX|STG|2|STG|STG|STG|0048|STG|31230|
008|ANAN|STG|2|STG|STG|STG|0048|STG|31230|
009|ANTICHAN-DE-FRONTIGNES|STG|3|STG|STG|STG|0051|STG|31510|
010|ANTIGNAC|STG|3|STG|STG|STG|0047|STG|31110|
011|ARBAS|STG|1|STG|STG|STG|0045|STG|31160|
012|ARBON|STG|1|STG|STG|STG|0045|STG|31160|
013|ARDIEGE|STG|3|STG|STG|STG|0051|STG|31210|
014|ARGUENOS|STG|1|STG|STG|STG|0045|STG|31160|
015|ARGUT-DESSOUS|STG|3|STG|STG|STG|0052|STG|31440|
017|ARLOS|STG|3|STG|STG|STG|0052|STG|31440|
018|ARNAUD-GUILHEM|STG|1|STG|STG|STG|0054|STG|31360|
019|ARTIGUE|STG|3|STG|STG|STG|0047|STG|31110|
020|ASPET|STG|1|STG|STG|STG|0045|STG|31160|
021|ASPRET SARRAT|STG|4|STG|STG|STG|0015|STG|31800|
022|AUCAMVILLE|TN|3|TN|TO3|TOU|0042|TO1|31140|
023|AULON|STG|2|STG|STG|STG|0046|STG|31420|
024|AURAGNE|TR|1|TR|TO3|COL|0055|TO3|31190|
025|AUREVILLE|TR|2|TR|TO3|COL|0065|TO3|31320|
026|AURIAC SUR VENDINELLE|TSE|1|TR|TO3|COL|0005|TO3|31460|
027|AURIBAIL|MUR|3|MUR|TO3|MUR|0055|MUR|31190|
028|AURIGNAC|STG|2|STG|STG|STG|0046|STG|31420|
029|AURIN|TSE|1|TR|TO3|COL|0005|TO3|31570|
030|AUSSEING|STG|2|STG|STG|STG|0054|STG|31260|
031|AUSSON|STG|4|STG|STG|STG|0051|STG|31210|
032|AUSSONNE|COL|4|COL|TO3|COL|0043|TO2|31840|
033|AUTERIVE|MUR|3|MUR|TO3|MUR|0055|MUR|31190|
034|AUZAS|STG|1|STG|STG|STG|0054|STG|31360|
035|AUZEVILLE TOLOSANE|TR|4|TR|TO3|COL|0065|TO3|31320|
036|AUZIELLE|TSE|1|TR|TO3|COL|0028|TO3|31650|
037|AVIGNONET LAURAGAIS|TSE|4|TR|TO3|COL|0039|TO3|31290|
004|AYGUESVIVES|TR|1|TR|TO3|COL|0003|TO3|31450|
038|AZAS|B|2|B|TO3|COL|0092|TO3|31380|
039|BACHAS|STG|2|STG|STG|STG|0046|STG|31420|
040|BACHOS|STG|3|STG|STG|STG|0052|STG|31440|
041|BAGIRY|STG|3|STG|STG|STG|0051|STG|31510|
042|BAGNERES-DE-LUCHON|STG|3|STG|STG|STG|0047|STG|31110|
043|BALESTA|STG|4|STG|STG|STG|0051|STG|31580|
044|BALMA|B|1|B|TO3|TOU|0092|TO1|31130|
045|BARBAZAN|STG|3|STG|STG|STG|0051|STG|31510|
046|BAREN|STG|3|STG|STG|STG|0052|STG|31440|
047|BAX|MUR|4|MUR|TO3|MUR|0056|MUR|31310|
048|BAZIEGE|TSE|2|TR|TO3|COL|0003|TO3|31450|
049|BAZUS|B|4|B|TO3|COL|0092|TO3|31380|
050|BEAUCHALOT|STG|1|STG|STG|STG|0054|STG|31360|
051|BEAUFORT|MUR|2|MUR|TO3|MUR|0060|MUR|31370|
052|BEAUMONT SUR LEZE|MUR|3|MUR|TO3|MUR|0055|MUR|31870|
053|BEAUPUY|B|2|B|TO3|TOU|0092|TO1|31850|
054|BEAUTEVILLE|TR|3|TR|TO3|COL|0039|TO3|31290|
055|BEAUVILLE|TSE|4|TR|TO3|COL|0005|TO3|31460|
056|BEAUZELLE|TNO|2|TNO|TO3|COL|0043|TO2|31700|
057|BELBERAUD|TSE|3|TR|TO3|COL|0003|TO3|31450|
058|BELBEZE DE LAURAGAIS|TR|1|TR|TO3|COL|0003|TO3|31450|
059|BELBEZE-EN-COMMINGES|STG|2|STG|STG|STG|0054|STG|31260|
060|BELESTA EN LAURAGAIS|TSE|2|TR|TO3|COL|0021|TO3|31540|
061|BELLEGARDE STE MARIE|COL|2|COL|TO3|COL|0012|TO2|31530|
062|BELLESSERRE|COL|1|COL|TO3|COL|0012|TO2|31480|
063|BENQUE|STG|2|STG|STG|STG|0046|STG|31420|
064|BENQUE-DESSOUS-ET-DESSUS|STG|3|STG|STG|STG|0047|STG|31110|
065|BERAT|MUR|2|MUR|TO3|MUR|0060|MUR|31370|
066|BESSIERES|B|4|B|TO3|COL|0092|TO3|31660|
067|BEZINS-GARRAUX|STG|3|STG|STG|STG|0052|STG|31440|
068|BILLIERE|STG|3|STG|STG|STG|0047|STG|31110|
590|BINOS|STG|3|STG|STG|STG|0052|STG|31440|
